IDADE,FX_ID,SEXO,p1,p2,p4,p5,p6,p8,p9a,p9b,p9c,p9d,p10,p11,p12,p13,p14,p15,ESCOLA,RENDAF,nquest
29.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,1.0
21.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0
28.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,7.0,3.0
43.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,8.0,2.0,6.0,4.0
24.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,3.0,5.0,5.0
31.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,6.0
32.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,6.0,7.0
55.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,6.0,8.0
67.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,1.0,4.0,9.0
43.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,2.0,3.0,10.0
24.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,6.0,11.0
39.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,12.0
49.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,6.0,13.0
39.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,7.0,14.0
17.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,9.0,2.0,5.0,15.0
20.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,1.0,3.0,16.0
64.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,5.0,17.0
40.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,6.0,18.0
20.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,5.0,19.0
65.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,9.0,3.0,4.0,20.0
28.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,6.0,21.0
21.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,22.0
19.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,23.0
73.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,5.0,24.0
89.0,3.0,1.0,1.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,25.0
38.0,2.0,1.0,2.0,1.0,4.0,5.0,3.0,6.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,8.0,26.0
27.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,27.0
55.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,28.0
32.0,2.0,2.0,1.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,30.0
53.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,7.0,3.0,7.0,31.0
29.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,6.0,32.0
44.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,3.0,5.0,33.0
23.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,34.0
32.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,4.0,35.0
48.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,36.0
42.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,6.0,37.0
36.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,6.0,38.0
18.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,4.0,39.0
38.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,6.0,40.0
39.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,4.0,41.0
40.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,42.0
41.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,5.0,43.0
23.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,44.0
26.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,5.0,45.0
76.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,46.0
36.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,5.0,47.0
36.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,48.0
54.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,49.0
78.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,50.0
36.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,51.0
35.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,6.0,52.0
26.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,5.0,1.0,3.0,53.0
29.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,54.0
23.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,55.0
40.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,56.0
62.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,2.0,57.0
23.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,58.0
26.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8.0,2.0,4.0,59.0
22.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,60.0
52.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,61.0
34.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,62.0
45.0,3.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,6.0,29.0
54.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,63.0
42.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,1.0,4.0,64.0
64.0,3.0,1.0,2.0,5.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,9.0,1.0,8.0,65.0
32.0,2.0,1.0,4.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5.0,66.0
33.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,5.0,154.0
16.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,9.0,3.0,6.0,67.0
21.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,155.0
40.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,156.0
20.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,157.0
35.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,158.0
44.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,68.0
49.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,159.0
36.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,160.0
25.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,161.0
37.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,162.0
40.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,107.0
39.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,4.0,108.0
38.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,9.0,1.0,4.0,109.0
21.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,5.0,163.0
53.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,110.0
49.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,8.0,2.0,6.0,69.0
41.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,164.0
48.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,1.0,1.0,111.0
59.0,3.0,2.0,4.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,8.0,165.0
17.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,4.0,70.0
51.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,8.0,166.0
27.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,5.0,112.0
18.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,167.0
23.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,3.0,4.0,113.0
45.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,71.0
77.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,168.0
24.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,5.0,114.0
62.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,115.0
43.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,116.0
17.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,5.0,72.0
60.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,169.0
51.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,6.0,1.0,3.0,117.0
19.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,6.0,1.0,3.0,118.0
37.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,119.0
40.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,170.0
57.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,6.0,120.0
29.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,9.0,2.0,5.0,73.0
16.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,121.0
26.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,122.0
47.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,123.0
66.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,74.0
23.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,6.0,171.0
16.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,4.0,124.0
27.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,125.0
35.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,75.0
28.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,126.0
24.0,1.0,2.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,127.0
17.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,9.0,2.0,3.0,76.0
57.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,128.0
28.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,77.0
31.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,3.0,7.0,129.0
40.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,130.0
58.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,131.0
23.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,6.0,78.0
41.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,6.0,132.0
19.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,5.0,133.0
19.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,79.0
22.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,6.0,134.0
42.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,99.0,8.0,2.0,6.0,135.0
68.0,3.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,9.0,1.0,4.0,80.0
