IDADE,FX_ID,SEXO,p1,p2,p4,p5,p6,p8,p9a,p9b,p9c,p9d,p10,p11,p12,p13,p14,p15,ESCOLA,RENDAF,nquest
37.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,81.0
16.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,136.0
29.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,137.0
26.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,82.0
39.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,138.0
58.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0,2.0,4.0,139.0
20.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,9.0,1.0,4.0,140.0
32.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,141.0
36.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,142.0
22.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,83.0
40.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,6.0,143.0
26.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,8.0,144.0
34.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,6.0,2.0,6.0,84.0
27.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,9.0,1.0,6.0,145.0
57.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,5.0,146.0
45.0,3.0,1.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5.0,85.0
25.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,147.0
38.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,6.0,86.0
37.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,148.0
45.0,3.0,1.0,4.0,4.0,3.0,5.0,4.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,4.0,149.0
20.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,3.0,150.0
36.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,151.0
38.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,7.0,152.0
64.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,153.0
28.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,99.0,6.0,1.0,4.0,87.0
43.0,3.0,2.0,1.0,5.0,3.0,5.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,88.0
34.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,5.0,89.0
19.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,90.0
33.0,2.0,2.0,1.0,1.0,2.0,5.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,6.0,91.0
27.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,92.0
23.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,2.0,4.0,93.0
18.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,7.0,94.0
25.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,6.0,95.0
70.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,1.0,8.0,96.0
59.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,5.0,1.0,4.0,97.0
18.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,2.0,4.0,98.0
49.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,99.0
73.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,100.0
60.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,101.0
21.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,6.0,2.0,4.0,102.0
45.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,9.0,1.0,7.0,103.0
53.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,9.0,3.0,4.0,104.0
63.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,7.0,105.0
52.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,106.0
27.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,7.0,172.0
33.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5.0,173.0
60.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,4.0,174.0
38.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,175.0
38.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,252.0
49.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,176.0
27.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,5.0,394.0
34.0,2.0,1.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,9.0,2.0,4.0,253.0
37.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,6.0,3.0,5.0,395.0
44.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,177.0
17.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,6.0,178.0
28.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,396.0
49.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,254.0
22.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,179.0
18.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,397.0
28.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,180.0
30.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,255.0
42.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,6.0,1.0,6.0,398.0
45.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,322.0
16.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,181.0
40.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,256.0
27.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,8.0,182.0
19.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,5.0,399.0
38.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,323.0
37.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,4.0,400.0
35.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,6.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,257.0
42.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,324.0
42.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,4.0,401.0
29.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0,2.0,5.0,325.0
44.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,1.0,4.0,183.0
32.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,5.0,258.0
18.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,5.0,402.0
16.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,8.0,2.0,3.0,326.0
23.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,9.0,2.0,3.0,184.0
56.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,403.0
55.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,9.0,1.0,3.0,327.0
57.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,6.0,404.0
34.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,1.0,3.0,185.0
23.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,259.0
30.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,405.0
19.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,6.0,2.0,4.0,186.0
35.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,328.0
52.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,1.0,4.0,406.0
19.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,260.0
41.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,187.0
47.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,407.0
22.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,359.0
53.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,5.0,188.0
21.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,261.0
45.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,408.0
51.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,5.0,1.0,3.0,189.0
20.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,409.0
35.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,360.0
38.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,6.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,190.0
69.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,262.0
26.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,191.0
40.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,2.0,329.0
44.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,410.0
18.0,1.0,2.0,4.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,361.0
24.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,7.0,263.0
19.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,6.0,2.0,4.0,192.0
23.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,4.0,193.0
71.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,8.0,1.0,1.0,264.0
47.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,3.0,5.0,411.0
27.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,194.0
38.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,330.0
16.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,9.0,2.0,5.0,412.0
69.0,3.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,195.0
41.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,5.0,265.0
23.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,3.0,6.0,331.0
22.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,2.0,266.0
58.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,196.0
29.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,4.0,332.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,413.0
23.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,362.0
69.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,197.0
33.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,414.0
23.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,333.0
82.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,363.0
35.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,6.0,198.0
47.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,5.0,2.0,5.0,415.0
37.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,267.0
55.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,5.0,364.0
29.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,199.0
