IDADE,FX_ID,SEXO,p1,p2,p4,p5,p6,p8,p9a,p9b,p9c,p9d,p10,p11,p12,p13,p14,p15,ESCOLA,RENDAF,nquest
18.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,2.0,4.0,553.0
26.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,517.0
31.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,582.0
16.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,4.0,604.0
44.0,3.0,2.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,496.0
56.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,537.0
56.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,583.0
57.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,4.0,497.0
35.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,498.0
45.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,584.0
23.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,538.0
31.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,3.0,5.0,569.0
70.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,554.0
32.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,3.0,6.0,539.0
35.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,228.0
51.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,499.0
26.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,3.0,5.0,540.0
63.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,585.0
59.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,6.0,605.0
76.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,555.0
25.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,5.0,541.0
39.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,570.0
30.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,586.0
57.0,3.0,1.0,4.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,3.0,4.0,606.0
17.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,2.0,3.0,542.0
40.0,2.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,500.0
25.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,4.0,607.0
49.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,4.0,587.0
17.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,6.0,571.0
16.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,6.0,543.0
38.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,588.0
22.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,572.0
32.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,7.0,544.0
34.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,6.0,556.0
32.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,8.0,2.0,5.0,573.0
31.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,589.0
36.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,9.0,3.0,6.0,545.0
37.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,557.0
40.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,3.0,5.0,546.0
76.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,6.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,590.0
20.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,547.0
20.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,9.0,2.0,4.0,558.0
19.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0,2.0,591.0
31.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,9.0,1.0,4.0,229.0
40.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,3.0,5.0,574.0
48.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,6.0,1.0,4.0,548.0
26.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,2.0,230.0
31.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,5.0,575.0
30.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,559.0
35.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,2.0,4.0,231.0
42.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,549.0
44.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0,5.0,576.0
32.0,2.0,2.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,5.0,592.0
34.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,5.0,232.0
35.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,560.0
16.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,2.0,577.0
29.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,233.0
20.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,578.0
50.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,561.0
37.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,234.0
48.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,579.0
22.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,235.0
48.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,593.0
20.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,562.0
49.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,236.0
68.0,3.0,1.0,1.0,5.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,501.0
40.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,8.0,594.0
17.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,237.0
39.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,238.0
65.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,8.0,563.0
50.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,8.0,1.0,2.0,239.0
73.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.0,3.0,614.0
61.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,240.0
29.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,99.0,9.0,2.0,7.0,595.0
21.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,615.0
55.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,5.0,564.0
18.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,596.0
34.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,616.0
66.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,241.0
38.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,4.0,608.0
29.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,3.0,6.0,565.0
36.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,617.0
27.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,4.0,242.0
37.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,611.0
53.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,6.0,618.0
59.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,597.0
19.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.0,3.0,612.0
18.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,243.0
63.0,3.0,1.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,609.0
42.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,244.0
29.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,4.0,613.0
19.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,598.0
43.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,566.0
30.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,3.0,4.0,610.0
27.0,2.0,1.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,4.0,245.0
27.0,2.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,599.0
78.0,3.0,1.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,619.0
46.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,8.0,1.0,4.0,246.0
37.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,5.0,567.0
43.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,4.0,600.0
19.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,1.0,620.0
63.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,247.0
53.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,1.0,5.0,621.0
29.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,3.0,6.0,601.0
47.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,3.0,4.0,568.0
34.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,1.0,5.0,622.0
31.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,602.0
37.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,248.0
40.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,8.0,249.0
16.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,9.0,1.0,8.0,250.0
54.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,251.0
17.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,3.0,633.0
58.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,2.0,4.0,623.0
53.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,628.0
59.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,4.0,634.0
52.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,4.0,629.0
47.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,635.0
35.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,4.0,624.0
25.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,6.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,8.0,636.0
36.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,630.0
18.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,637.0
49.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,8.0,625.0
21.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,6.0,631.0
19.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,7.0,638.0
31.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,99.0,6.0,2.0,2.0,626.0
32.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,3.0,1.0,632.0
32.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,6.0,627.0
31.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,639.0
17.0,1.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,5.0,640.0
